Continuous Training Statistics (v3)
==================================================

Mode: continuous_wm
Total Steps: 180,000
Total Episodes: 356
Best Eval Reward: 702.0

Latest Eval Reward: 470.0 +/- 372.1
Latest Policy Loss: 0.0072
Latest WM Loss: 1.3387

Buffer Size: 180,000
Epsilon: 0.0100

==================================================
Evaluation History
==================================================
      Step     Reward        Std
--------------------------------
    10,000      409.0      444.9
    20,000      234.0       17.4
    30,000      417.0      297.1
    40,000      388.0      122.0
    50,000      366.0       90.4
    60,000      295.0       87.2
    70,000      373.0      131.5
    80,000      558.0      493.2
    90,000      330.0       95.5
   100,000      266.0      108.2
   110,000      223.0      117.8
   120,000      702.0      342.4
   130,000      370.0      117.9
   140,000      232.0       74.9
   150,000      609.0      275.7
   160,000      312.0       74.1
   170,000      253.0       28.7
   180,000      470.0      372.1
